U 30 | F 061440 | FPS 0245 | D 249 | rR:μσmM 0.05 0.16 0.00 0.64 | F:μσmM 239.2 36.4 100.0 250.0 | H 1.944 | V 0.013 | pL 0.003 | vL 0.000 | ∇ 0.006
Status saved
U 31 | F 063488 | FPS 0245 | D 257 | rR:μσmM 0.01 0.06 0.00 0.23 | F:μσmM 247.7 9.0 213.0 250.0 | H 1.945 | V 0.012 | pL 0.001 | vL 0.000 | ∇ 0.007
U 32 | F 065536 | FPS 0245 | D 266 | rR:μσmM 0.01 0.06 0.00 0.23 | F:μσmM 247.7 9.0 213.0 250.0 | H 1.945 | V 0.010 | pL 0.002 | vL 0.000 | ∇ 0.005
U 33 | F 067584 | FPS 0245 | D 274 | rR:μσmM 0.03 0.11 0.00 0.46 | F:μσmM 243.8 24.2 150.0 250.0 | H 1.945 | V 0.012 | pL -0.002 | vL 0.001 | ∇ 0.015
U 34 | F 069632 | FPS 0245 | D 282 | rR:μσmM 0.03 0.11 0.00 0.46 | F:μσmM 243.8 24.2 150.0 250.0 | H 1.945 | V 0.007 | pL 0.002 | vL 0.000 | ∇ 0.006
U 35 | F 071680 | FPS 0245 | D 291 | rR:μσmM 0.03 0.11 0.00 0.45 | F:μσmM 243.9 23.7 152.0 250.0 | H 1.945 | V 0.002 | pL -0.003 | vL 0.001 | ∇ 0.017
U 36 | F 073728 | FPS 0245 | D 299 | rR:μσmM 0.10 0.21 0.00 0.68 | F:μσmM 227.8 47.9 90.0 250.0 | H 1.945 | V 0.011 | pL -0.008 | vL 0.003 | ∇ 0.027
U 37 | F 075776 | FPS 0246 | D 307 | rR:μσmM 0.07 0.19 0.00 0.68 | F:μσmM 233.9 43.9 90.0 250.0 | H 1.945 | V 0.013 | pL 0.003 | vL 0.000 | ∇ 0.006
U 38 | F 077824 | FPS 0244 | D 316 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.945 | V 0.010 | pL 0.002 | vL 0.000 | ∇ 0.006
U 39 | F 079872 | FPS 0245 | D 324 | rR:μσmM 0.01 0.05 0.00 0.23 | F:μσmM 247.8 8.5 215.0 250.0 | H 1.945 | V 0.009 | pL -0.000 | vL 0.000 | ∇ 0.008
U 40 | F 081920 | FPS 0244 | D 333 | rR:μσmM 0.09 0.20 0.00 0.70 | F:μσmM 230.8 46.3 83.0 250.0 | H 1.943 | V 0.018 | pL -0.010 | vL 0.004 | ∇ 0.023
Status saved
U 41 | F 083968 | FPS 0245 | D 341 | rR:μσmM 0.09 0.20 0.00 0.70 | F:μσmM 230.4 46.4 83.0 250.0 | H 1.941 | V 0.018 | pL 0.002 | vL 0.000 | ∇ 0.012
U 42 | F 086016 | FPS 0242 | D 349 | rR:μσmM 0.06 0.17 0.00 0.68 | F:μσmM 237.4 39.4 90.0 250.0 | H 1.941 | V 0.019 | pL 0.004 | vL 0.000 | ∇ 0.012
U 43 | F 088064 | FPS 0243 | D 358 | rR:μσmM 0.03 0.09 0.00 0.34 | F:μσmM 245.6 16.2 183.0 250.0 | H 1.942 | V 0.015 | pL -0.001 | vL 0.001 | ∇ 0.014
U 44 | F 090112 | FPS 0244 | D 366 | rR:μσmM 0.03 0.09 0.00 0.34 | F:μσmM 245.6 16.2 183.0 250.0 | H 1.943 | V 0.014 | pL 0.003 | vL 0.000 | ∇ 0.007
U 45 | F 092160 | FPS 0244 | D 375 | rR:μσmM 0.04 0.13 0.00 0.50 | F:μσmM 241.8 27.0 139.0 250.0 | H 1.942 | V 0.014 | pL -0.003 | vL 0.001 | ∇ 0.014
U 46 | F 094208 | FPS 0245 | D 383 | rR:μσmM 0.07 0.17 0.00 0.52 | F:μσmM 234.5 37.6 133.0 250.0 | H 1.942 | V 0.016 | pL -0.002 | vL 0.001 | ∇ 0.019
U 47 | F 096256 | FPS 0245 | D 391 | rR:μσmM 0.05 0.14 0.00 0.52 | F:μσmM 239.6 30.0 133.0 250.0 | H 1.942 | V 0.018 | pL 0.003 | vL 0.000 | ∇ 0.010
U 48 | F 098304 | FPS 0244 | D 400 | rR:μσmM 0.02 0.07 0.00 0.28 | F:μσmM 246.9 11.9 201.0 250.0 | H 1.943 | V 0.018 | pL 0.004 | vL 0.000 | ∇ 0.005
U 49 | F 100352 | FPS 0243 | D 408 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.944 | V 0.014 | pL 0.004 | vL 0.000 | ∇ 0.005
U 50 | F 102400 | FPS 0246 | D 417 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.944 | V 0.012 | pL 0.003 | vL 0.000 | ∇ 0.004
Status saved
U 51 | F 104448 | FPS 0244 | D 425 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.945 | V 0.009 | pL 0.002 | vL 0.000 | ∇ 0.004
U 52 | F 106496 | FPS 0246 | D 433 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.945 | V 0.007 | pL 0.002 | vL 0.000 | ∇ 0.004
U 53 | F 108544 | FPS 0245 | D 442 | rR:μσmM 0.06 0.13 0.00 0.40 | F:μσmM 238.2 26.0 166.0 250.0 | H 1.945 | V 0.010 | pL -0.007 | vL 0.001 | ∇ 0.017
U 54 | F 110592 | FPS 0245 | D 450 | rR:μσmM 0.13 0.21 0.00 0.58 | F:μσmM 222.5 45.1 118.0 250.0 | H 1.944 | V 0.016 | pL -0.010 | vL 0.003 | ∇ 0.023
U 55 | F 112640 | FPS 0245 | D 458 | rR:μσmM 0.07 0.18 0.00 0.58 | F:μσmM 234.3 41.6 118.0 250.0 | H 1.944 | V 0.016 | pL 0.004 | vL 0.000 | ∇ 0.006
U 56 | F 114688 | FPS 0243 | D 467 | rR:μσmM 0.04 0.12 0.00 0.45 | F:μσmM 241.7 24.3 154.0 250.0 | H 1.944 | V 0.017 | pL -0.004 | vL 0.001 | ∇ 0.016
U 57 | F 116736 | FPS 0244 | D 475 | rR:μσmM 0.04 0.12 0.00 0.45 | F:μσmM 241.7 24.3 154.0 250.0 | H 1.944 | V 0.012 | pL 0.003 | vL 0.000 | ∇ 0.006
U 58 | F 118784 | FPS 0243 | D 484 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.945 | V 0.009 | pL 0.002 | vL 0.000 | ∇ 0.005
U 59 | F 120832 | FPS 0243 | D 492 | rR:μσmM 0.02 0.08 0.00 0.33 | F:μσmM 246.1 15.2 187.0 250.0 | H 1.945 | V 0.011 | pL -0.002 | vL 0.001 | ∇ 0.012
U 60 | F 122880 | FPS 0240 | D 501 | rR:μσmM 0.02 0.08 0.00 0.33 | F:μσmM 246.1 15.2 187.0 250.0 | H 1.945 | V 0.011 | pL 0.003 | vL 0.000 | ∇ 0.005
Status saved
U 61 | F 124928 | FPS 0244 | D 509 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.945 | V 0.009 | pL 0.002 | vL 0.000 | ∇ 0.005
U 62 | F 126976 | FPS 0245 | D 517 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.945 | V 0.006 | pL 0.002 | vL 0.000 | ∇ 0.005
U 63 | F 129024 | FPS 0246 | D 526 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.945 | V 0.005 | pL 0.001 | vL 0.000 | ∇ 0.005
U 64 | F 131072 | FPS 0245 | D 534 | rR:μσmM 0.00 0.00 0.00 0.00 | F:μσmM 250.0 0.0 250.0 250.0 | H 1.945 | V 0.003 | pL 0.001 | vL 0.000 | ∇ 0.005
U 65 | F 133120 | FPS 0245 | D 543 | rR:μσmM 0.01 0.03 0.00 0.14 | F:μσmM 249.3 2.7 239.0 250.0 | H 1.945 | V 0.005 | pL -0.001 | vL 0.000 | ∇ 0.008
U 66 | F 135168 | FPS 0245 | D 551 | rR:μσmM 0.06 0.17 0.00 0.68 | F:μσmM 238.4 38.8 89.0 250.0 | H 1.945 | V 0.010 | pL -0.005 | vL 0.002 | ∇ 0.019
U 67 | F 137216 | FPS 0244 | D 559 | rR:μσmM 0.10 0.20 0.00 0.68 | F:μσmM 229.1 45.0 89.0 250.0 | H 1.943 | V 0.016 | pL -0.003 | vL 0.001 | ∇ 0.016
U 68 | F 139264 | FPS 0246 | D 568 | rR:μσmM 0.07 0.14 0.00 0.45 | F:μσmM 237.1 28.3 154.0 250.0 | H 1.943 | V 0.018 | pL 0.001 | vL 0.000 | ∇ 0.012
U 69 | F 141312 | FPS 0245 | D 576 | rR:μσmM 0.02 0.07 0.00 0.27 | F:μσmM 247.0 11.6 202.0 250.0 | H 1.944 | V 0.015 | pL 0.003 | vL 0.000 | ∇ 0.005
