MiniGrid-DLTestingW16H9T0Goal-random-v0_MiniGrid-DLEnv-random-v0_Quantization_2_2,196892.0,1028,191,0.86 0.20 0.00 1.00,196.9 272.4 1.0 1280.0
MiniGrid-DLTestingW16H16T0Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_1_1,549616.0,951,578,0.60 0.35 0.00 1.00,549.6 462.2 2.0 1280.0
MiniGrid-DLTestingW9H9T1Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_3_3,1146312.0,1734,661,0.12 0.24 0.00 0.95,1146.3 295.4 67.0 1280.0
MiniGrid-DLTestingW9H9T2Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_3_3,50068.0,1732,28,0.78 0.39 0.00 1.00,50.1 50.5 1.0 339.0
MiniGrid-DLTestingW9H9T0Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_3_3,29346.0,1685,17,0.65 0.46 0.00 1.00,29.3 48.2 1.0 694.0
MiniGrid-DLTestingW9H9T1Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_4_4,1165841.0,1734,672,0.10 0.23 0.00 0.95,1165.8 280.1 78.0 1280.0
MiniGrid-DLTestingW9H9T1Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_3_3,29424.0,1520,19,0.20 0.40 0.00 1.00,29.4 45.9 1.0 433.0
MiniGrid-DLTestingW9H9T2Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_3_3,57162.0,1703,33,0.39 0.48 0.00 1.00,57.2 85.8 1.0 862.0
MiniGrid-DLTestingW9H9T2Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_4_4,69574.0,1703,40,0.50 0.49 0.00 1.00,69.6 94.1 1.0 685.0
MiniGrid-DLTestingW9H9T0Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_4_4,27738.0,1688,16,0.64 0.47 0.00 1.00,27.7 27.5 1.0 291.0
MiniGrid-DLTestingW16H16T0Goal-random-v0_MiniGrid-DLEnv-random-v0_Quantization_2_2,456890.0,1044,437,0.67 0.33 0.00 1.00,456.9 438.4 1.0 1280.0
MiniGrid-DLTestingW16H16T1Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_3_3,101558.0,1747,58,0.19 0.38 0.00 1.00,101.4 192.3 1.0 1280.0
MiniGrid-DLTestingW9H9T1Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_4_4,48964.0,1694,28,0.18 0.38 0.00 1.00,49.0 82.1 1.0 919.0
MiniGrid-DLTestingW9H9T2Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_4_4,84864.0,1749,48,0.33 0.46 0.00 1.00,84.9 119.3 1.0 1101.0
MiniGrid-DLTestingW9H9T1Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_1_1,1154887.0,1454,794,0.11 0.24 0.00 0.93,1154.9 285.8 96.0 1280.0
MiniGrid-DLTestingW16H16T2Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_3_3,139739.0,1707,81,0.37 0.46 0.00 1.00,139.7 201.2 1.0 1280.0
MiniGrid-DLTestingW9H9T1Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_2_2,1165144.0,1270,917,0.10 0.23 0.00 0.95,1165.1 276.6 70.0 1280.0
MiniGrid-Empty-Random-5x5-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_3_3,9248.0,1703,5,0.92 0.05 0.60 0.99,9.2 5.2 1.0 44.0
MiniGrid-DLTestingW9H9T2Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_1_1,57237.0,1422,40,0.46 0.49 0.00 1.00,57.2 83.7 1.0 596.0
MiniGrid-DLTestingW9H9T1Goal-random-v0_MiniGrid-DLEnv-random-v0_Quantization_1_1,1184033.0,1655,715,0.08 0.21 0.00 0.96,1184.0 251.7 58.0 1280.0
MiniGrid-DLTestingW16H16T1Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Quantization_4_4,111329.0,1665,66,0.19 0.38 0.00 1.00,111.3 199.5 1.0 1280.0
MiniGrid-DLTestingW9H9T2Goal-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_2_2,50187.0,1260,39,0.50 0.49 0.00 1.00,50.2 74.2 1.0 742.0
MiniGrid-DLTestingW9H9T2Goal-random-v0_MiniGrid-DLEnv-random-v0_Quantization_1_1,30875.0,1594,19,0.63 0.47 0.00 1.00,30.9 33.7 1.0 332.0
MiniGrid-DLTestingW9H9T0Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_1_1,42511.0,1396,30,0.63 0.47 0.00 1.00,42.5 125.5 1.0 1280.0
MiniGrid-DLTestingW9H9T0Objects-random-v0_MiniGrid-DLEnv-random-v0_Adaptive_Hierachical_2_2,24343.0,1258,19,0.67 0.46 0.00 1.00,24.3 32.9 1.0 463.0
MiniGrid-DLTestingW9H9T0Objects-random-v0_MiniGrid-DLEnv-random-v0_Quantization_1_1,25728.0,1521,16,0.65 0.46 0.00 1.00,25.7 26.7 1.0 306.0
